ID,Name,Quantity,Type,,,,
1,all purpose flour,1.5,cup,,,,
1,salt,0.75,tsp,,,,
1,baking soda,0.75,tsp,,,,
1,butter,0.75,cup,,,,
1,brown sugar,1,cup,,,,
1,sugar,0.25,cup,,,,
1,egg,1,item,,,,
1,egg yolk,2,item,,,,
1,vanilla,2,tsp,,,,
1,chocalate,6,oz,,,,
2,whole wheat flour,1,cup,,,,
2,baking powder,2,tsp,,,,
2,salt,0.25,tsp,,,,
2,egg,1,item,,,,
2,almond milk,1,cup,,,,
2,olive oil,2,tbsp,,,,
2,bananas,2,item,,,,
2,chocolate chips,,,,,,
3,cereal,2,cup,,,,
3,milk,1.5,cup,,,,
4,oil,,,,,,
4,green chili,,,,,,
4,jalapenos,,,,,,
4,red chili flakes,,,,,,
4,diced pepper,0.5,item,,,,
4,corn,1,bowl,,,,
4,chopped tomato,1,item,,,,
4,tomato paste,0.5,can,,,,
4,beans,1,can,,,,
4,paprika,1,tsp,,,,
4,italian seasoning ,1.5,tsp,,,,
4,brown sugar,1,tsp,,,,
4,fresh parsley,1.5,tbsp,,,,
4,salt,,,,,,
5,tomato,,,,,,
5,onion,,,,,,
5,cucumber,,,,,,
5,feta cheese,,,,,,
5,olive oil,,,,,,
5,oregano,,,,,,
6,chocalate bars,4,item,,,,
6,Oreos,30,item,,,,
6,heavy cream,5,NULL,,,,
6,butter,2,NULL,,,,
6,egg,7,item,,,,
7,basil ,6,cup,,,,
7,pine nuts,0.75,cup,,,,
7,garlic,3,clove,,,,
7,shredded Parmesan,3,oz,,,,
7,olive oil,0.75,cup,,,,
7,salt,1,pinch,,,,
7,pasta,1,box,,,,
8,vegetable oil,1,tbsp,,,,
8,medium onion,0.5,item,,,,
8,medium carrot ,1,item,,,,
8,green onion,1,cup,,,,
8,baby spinach,3,cup,,,,
8,soft vacuum-packed udon noodles,14,oz,,,,
8,Sambal Oelek,1.5,tsp,,,,
8,soy sauce,0.25,cup,,,,
8,rice wine vinegar,2,tsp,,,,
8,sesame oil,1,tsp,,,,
8,brown sugar,2,tbsp,,,,
8,garlic,2,clove,,,,
8,fresh ginger,1,tbsp,,,,
9,chicken breast,1,item,,,,
9,olive oil,0.5,cup,,,,
9,garlic powder,1,tsp,,,,
9,onion powder,1,tsp,,,,
9,salt,2,tsp,,,,
9,black pepper,3,tsp,,,,
10,dried elbow pasta,1,lb,,,,
10,unsalted butter,0.5,cup,,,,
10,all purpose flour,0.5,cup,,,,
10,whole milk,1.5,cup,,,,
10,half and half,2.5,cup,,,,
10,grated medium sharp cheddar cheese,4,cuo,,,,
10,grated Gruyere cheese,2,cuo,,,,
10,salt,0.5,tbsp,,,,
10,black pepper,0.5,tsp,,,,
10,paprika,0.25,tsp,,,,
11,roasted indigenous legume pate,2,tbsp,,,,
11,seasonal berry compote,2,tbsp,,,,
11,hearty sprouted wheat bread,2,slice,,,,
12,old fashioned oats,3,cup,,,,
12,sliced almonds,0.33,cup,,,,
12,chopped walnuts,0.33,cup,,,,
12,pure maple syrup,0.33,cup,,,,
12,vegetable oil,0.25,cup,,,,
12,ground cinnamon,1,tsp,,,,
12,vanilla,1,tsp,,,,
12,ground nutmeg,0.25,tsp,,,,
13,white bread,2,slice,,,,
13,peanut butter,1,tbsp,,,,
13,grape jelly,2,tsp,,,,
14,Israeli Couscous,1.75,cup,,,,
14,deveined and shelled shrimp,6,item,,,,
14,water,2,cup,,,,
14,garlic,2,clove,,,,
14,avocado butter,3,tbsp,,,,
14,artichoke lemon pesto,3,tbsp,,,,
14,chopped cilantro,5,tbsp,,,,
14,green onion,3,item,,,,
14,lime,0.5,item,,,,
14,olive oil,1.5,tbsp,,,,
14,red pepper flakes,1,tbsp,,,,
14,salt,2,tbsp,,,,
14,freshly cracked pepper,0.5,tbsp,,,,
15,cucumber,1,item,,,,
15,cream cheese,,,,,,
15,seasoning ,,,,,,
16,chick peas,,,,,,
16,corn tortillas,,,,,,
16,bell pepper,,,,,,
16,onion,,,,,,
16,garlic,,,,,,
16,lime,,,,,,
16,avocado butter,,,,,,
16,oil,,,,,,
16,seasoning ,,,,,,
16,cilantro,,,,,,
16,sour cream ,,,,,,
17,white fish,2,fillet,,,,
17,cherry tomatoes,1,clove,,,,
17,garlic,4,clove,,,,
17,minced parsley,0.25,item,,,,
17,lemon,2,cup,,,,
17,butter,0.333333333,slice,,,,
17,salt,,,,,,
17,pepper,,,,,,
18,fresh basil leaves,2,cup,,,,
18,garlic,2,clove,,,,
18,pistachio nits,0.25,cup,,,,
18,extra virgin olive oil,0.666666667,cup,,,,
18,kosher salt,,,,,,
18,freshly ground pepper,,,,,,
18,freshly grated Pecorino cheese,0.5,cup,,,,
19,sweet potato,1,item,,,,
19,olive oil,,,,,,
19,seasoning ,,,,,,
20,flour,1,cup,,,,
20,baking powder,2,tsp,,,,
20,cinnamon,2,tsp,,,,
20,salt,0.25,tsp,,,,
20,maple syrup,2,tbsp,,,,
20,vanilla,1,tsp,,,,
20,unsweetened applesauce,0.25,cup,,,,
20,dairy-free milk,1,cup,,,,
21,mango,1,item,,,,
21,diced frozen bananas,0.75,item,,,,
21,milk,0.25,cup,,,,
21,chia seeds,,,,,,
21,fresh fruit,,,,,,
21,grated coconut,,,,,,
21,chopped almond,,,,,,
21,granola,,,,,,
21,nut butter,,,,,,
21,chocolate chips,,,,,,
22,bananas,2,item,,,,
22,frozen mango,1,cup,,,,
22,frozen strawberries,1,cup,,,,
22,frozen blackberries,0.5,cup,,,,
22,froxen blueberries,0.5,cup,,,,
22,chopped apples,1,cup,,,,
22,chia seeds,2,tbsp,,,,
22,oat milk,2,cup,,,,
23,tanarind paste,1,tsp,,,,
23,soy cauce,0.166666667,cup,,,,
23,brown sugar,3,tbsp,,,,
23,Sambal chili sauce,0.5,item,,,,
23,lime juice,1,tbsp,,,,
23,rice vinegar,1,tsp,,,,
23,cubed extra firm tofu,1,cup,,,,
23,sesame oil,1,tbsp,,,,
23,soy sauce,0.5,tbsp,,,,
23,Pad Thai rice noodles,,,,,,
23,boiling water,,,,,,
23,sesame oil,1,tbsp,,,,
23,shredded carrots,,,,,,
23,bean sprouts,,,,,,
23,crushed peanuts,,,,,,
23,fresh lime,,,,,,
23,cilantro,,,,,,
24,almond flour,0.166666667,cup,,,,
24,old fashioned rolled oats,0.25,cup,,,,
24,cocunut sugar,0.166666667,cup,,,,
24,chopped pecans,0.25,cup,,,,
24,cocunut oil,0.125,cup,,,,
24,cinnamon,1,pinch,,,,
24,salt,1,pinch,,,,
24,red or granny smoth apples,4,item,,,,
24,maple syrup,0.166666667,cup,,,,
24,pure vanilla extracct,2,tsp,,,,
24,cinnamon,1,dash,,,,
24,nutmeg,1,dash,,,,
25,handvo flour,3,cup,,,,
25,oil,0.5,cup,,,,
25,yogurt,1,cup,,,,
25,haldi (tumeric) powder,2,tsp,,,,
25,dhana jeeru (cumin coriander) powder,2,tsp,,,,
25,pink himalayan salt,3,tsp,,,,
25,crushed ajmo,2,spoon,,,,
25,thinly chopped baby spinach ,1,lb,,,,
25,shredded cmall cabbage ,0.25,item,,,,
26,firm tofu,1,box,,,,
26,corn starch,2,tbsp,,,,
26,water,2,tbsp,,,,
26,olive oil,2,tbsp,,,,
26,fresh orange juice,1,cup,,,,
26,sugar,0.5,cup,,,,
26,vegetable broth,2,cup,,,,
26,apple cider vinegar,2,tbsp,,,,
26,chilli paste,4,tsp,,,,
26,soy sauce,4,tsp,,,,
26,ginger,0.25,tsp,,,,
27,salt,,,,,,
27,onion,1,item,,,,
27,garlic,4,clove,,,,
27,parmesan cheese,4,oz,,,,
27,extra vrigin olive oil,2,tbsp,,,,
27,tomato paste,4.5,oz,,,,
27,red pepper flakes,0.5,tsp,,,,
27,vodka,2,oz,,,,
27,heavy cream,0.75,cup,,,,
27,rigatoni pasta,1,lb,,,,
27,basil leaves,,,,,,
