ID,Type,,,
1,Dessert,,,
2,Breakfast,,,
3,Meal,,,
3,Snack,,,
3,Breakfast,,,
4,Snack,,,
4,Lunch,,,
4,Appetizer/Side,,,
5,Dessert,,,
6,Meal,,,
6,Lunch,,,
6,Dinner,,,
7,Meal,,,
7,Lunch,,,
7,Dinner,,,
8,Beverage,,,
8,Meal,,,
8,Snack,,,
9,Meal,,,
9,Lunch,,,
9,Dinner,,,
10,Meal,,,
10,Snack,,,
10,Lunch,,,
11,Snack,,,
11,Lunch,,,
11,Appetizer/Side,,,
12,Meal,,,
12,Snack,,,
12,Breakfast,,,
13,Meal,,,
13,Snack,,,
13,Breakfast,,,
13,Lunch,,,
14,Meal,,,
15,Snack,,,
16,Meal,,,
17,Meal,,,
18,Snack,,,
19,Snack,,,
20,Meal,,,
20,Breakfast,,,
21,Snack,,,
22,Snack,,,
23,Meal,,,
23,Lunch,,,
23,Dinner,,,
24,Dessert,,,
25,Meal,,,
25,Snack,,,
25,Lunch,,,
25,Dinner,,,
26,Meal,,,
26,Lunch,,,
26,Dinner,,,
27,Meal,,,